risk_bucket,loan_intent,total_loans,paid_loans,defaulted_loans,default_rate_pct,avg_loan_amount,total_loan_amount,avg_interest_rate,avg_person_income,avg_loan_percent_income,high_default_flag,loan_grade
low,DEBTCONSOLIDATION,75,0,75,100.0,9720.0,729000,16.06,82948.21,0.1216,true,E
medium,DEBTCONSOLIDATION,53,0,53,100.0,14473.58,767100,16.39,53662.94,0.2725,true,E
high,MEDICAL,19,0,19,100.0,18630.26,353975,16.39,40714.68,0.4458,true,E
high,DEBTCONSOLIDATION,16,0,16,100.0,19678.13,314850,16.76,45051.5,0.4419,true,E
high,HOMEIMPROVEMENT,3,0,3,100.0,22016.67,66050,17.0,47333.33,0.46,true,E
low,MEDICAL,80,1,79,98.75,8118.75,649500,16.68,69568.09,0.1066,true,E
medium,MEDICAL,68,6,62,91.18,16987.5,1155150,16.58,56217.34,0.2771,true,E
high,EDUCATION,10,1,9,90.0,20327.5,203275,16.07,41735.6,0.486,true,E
high,PERSONAL,10,2,8,80.0,18300.0,183000,16.59,41231.6,0.473,true,E
high,VENTURE,11,3,8,72.73,15279.55,168075,16.52,33147.64,0.4627,true,E
medium,HOMEIMPROVEMENT,60,22,38,63.33,16679.58,1000775,16.46,65454.18,0.263,true,E
medium,VENTURE,79,32,47,59.49,14988.61,1184100,16.21,55000.08,0.2739,true,E
medium,PERSONAL,63,31,32,50.79,15811.9,996150,16.5,58799.71,0.2767,true,E
medium,EDUCATION,75,38,37,49.33,15687.67,1176575,16.61,58089.67,0.2716,true,E
low,VENTURE,88,51,37,42.05,10221.02,899450,16.34,83213.56,0.1236,true,E
low,PERSONAL,74,43,31,41.89,9003.38,666250,16.73,84836.55,0.1158,true,E
low,HOMEIMPROVEMENT,80,47,33,41.25,11948.75,955900,16.81,103201.44,0.1186,true,E
low,EDUCATION,100,66,34,34.0,9817.0,981700,16.51,88473.21,0.1189,true,E
high,DEBTCONSOLIDATION,42,5,37,88.1,17186.31,721825,13.11,36963.74,0.4719,true,C
high,PERSONAL,42,7,35,83.33,16903.57,709950,13.24,36946.38,0.4602,true,C
high,EDUCATION,47,9,38,80.85,15781.38,741725,12.88,34303.32,0.4617,true,C
high,MEDICAL,52,10,42,80.77,16509.62,858500,13.22,36264.58,0.455,true,C
high,VENTURE,57,14,43,75.44,15929.39,907975,13.0,34799.81,0.4618,true,C
high,HOMEIMPROVEMENT,22,6,16,72.73,17227.27,379000,13.06,36935.27,0.4673,true,C
medium,DEBTCONSOLIDATION,313,195,118,37.7,12483.15,3907225,13.17,47806.75,0.2674,true,C
medium,HOMEIMPROVEMENT,213,137,76,35.68,14317.25,3049575,13.25,57278.28,0.2591,true,C
medium,MEDICAL,377,252,125,33.16,12510.68,4716525,13.26,46843.2,0.2687,true,C
medium,EDUCATION,397,291,106,26.7,12692.51,5038925,13.1,48984.39,0.2651,true,C
medium,VENTURE,349,256,93,26.65,12318.7,4299225,13.25,47685.59,0.2641,true,C
medium,PERSONAL,334,247,87,26.05,12991.99,4339325,13.26,50513.48,0.2634,true,C
low,HOMEIMPROVEMENT,458,361,97,21.18,7698.74,3526025,13.2,77357.58,0.1048,false,C
low,DEBTCONSOLIDATION,687,605,82,11.94,7140.43,4905475,13.23,77534.63,0.1036,false,C
low,PERSONAL,669,593,76,11.36,7292.97,4879000,13.24,73315.2,0.1102,false,C
low,VENTURE,697,618,79,11.33,7086.66,4939400,13.28,75378.9,0.1069,false,C
low,MEDICAL,788,699,89,11.29,6713.01,5289850,13.25,67545.29,0.1077,false,C
low,EDUCATION,912,812,100,10.96,6890.13,6283800,13.23,68338.27,0.109,false,C
high,DEBTCONSOLIDATION,32,0,32,100.0,21018.75,672600,14.5,45033.84,0.47,true,D
high,MEDICAL,31,0,31,100.0,19783.87,613300,14.89,40971.48,0.4655,true,D
medium,DEBTCONSOLIDATION,221,15,206,93.21,14319.0,3164500,14.96,52186.66,0.2776,true,D
high,HOMEIMPROVEMENT,29,2,27,93.1,19032.76,551950,15.25,42268.14,0.4541,true,D
low,DEBTCONSOLIDATION,347,29,318,91.64,7473.99,2593475,15.06,68958.58,0.1163,true,D
high,VENTURE,20,2,18,90.0,16017.5,320350,14.77,36043.4,0.4435,true,D
low,MEDICAL,361,45,316,87.53,7730.96,2790875,15.15,64433.14,0.1203,true,D
medium,MEDICAL,266,36,230,86.47,13500.0,3591000,14.87,46948.91,0.2749,true,D
